Feature,Importance
num__Complexity_Score,0.07985436294037473
num__Team_Turnover_Rate,0.06283741415187909
num__Previous_Delivery_Success_Rate,0.06073644666344762
num__Project_Budget_USD,0.05853443453488434
num__Budget_Utilization_Rate,0.0564019373208406
num__Estimated_Timeline_Months,0.04822442328588053
num__Team_Size,0.04571236089489368
num__Stakeholder_Count,0.04198594076833902
num__Cross_Functional_Dependencies,0.03716099904942653
num__Current_Phase_Duration_Months,0.0360498723513773
num__External_Dependencies_Count,0.033420275354816995
num__Historical_Risk_Incidents,0.02805030646319708
num__Schedule_Pressure,0.02803875057531188
num__Technical_Debt_Level,0.02555582669779302
cat__Team_Experience_Level_Expert,0.021926875662687802
